Gene	score_fdr_pos	score_tophalf_pos	score_pos	n_fdr_guides_pos	pval_pos	qval_pos	score_fdr_neg	score_tophalf_neg	score_neg	n_fdr_guides_neg	pval_neg	qval_neg	z_pos
PTEN_ZBTB7B	-0.263273295662022	-0.478947147899729	-0.61058379573074	6	2.80995468546365e-07	0.000380055413031659	3.14707498110243	3.96399564996991	5.53753314052112	15	1.18074836857009e-105	1.52406541061773e-105	4.08054242118439
NR4A1_SOCS3	0.410742878555819	-0.819929400241872	-0.614557960963962	5	2.97266650787375e-07	0.000380055413031659	2.77084978795086	3.71842014189504	5.10384503587047	16	1.01815967424527e-94	1.13439402485627e-94	4.07204328820077
CBLB_NR4A1	-0.274794536989328	-0.5334147357771	-0.670812004271763	7	6.51452125392732e-07	0.00042422462705356	2.13789452065666	2.92773522555314	3.99668248588147	16	1.4715987774984e-69	1.47679673236397e-69	3.95173862876123
MYC_NR4A3	0.684465304244722	-0.877499465313041	-0.672159874039625	3	6.63628669618396e-07	0.00042422462705356	4.53293706221909	4.96137338123516	7.2278419123447	15	4.3983240374537e-154	2.67774156280217e-153	3.94885608016816
CBLB_TIGIT	-0.495645525936369	-0.451086548555125	-0.69890931152331	8	9.55787674642789e-07	0.000488789816812322	2.11036466613744	2.8454948974691	3.90067723053782	16	1.4549173610458e-67	1.45719690254372e-67	3.89164984613684
PTPN7_TIGIT	0.675987346711661	-0.927257740285103	-0.724461536271604	3	1.34777581019609e-06	0.000574377124445232	3.19397062830583	3.46132628147724	5.05831159563015	13	1.32033190670921e-93	1.45020991643275e-93	3.83700396620522
TRAF6	-0.096346001800444	-0.833943608631822	-0.882116609532044	12	1.01270508334332e-05	0.00363277395673625	3.8440845861835	5.09110421542646	7.01314650851821	79	2.02791914083659e-147	9.14530730708849e-147	3.49984349235742
NR4A3_PTPN12	-0.04634783044212	-0.873040780501963	-0.891579912678811	4	1.13657378388307e-05	0.00363277395673625	2.72683037363266	3.43799600904433	4.80141119586066	16	1.87885833832171e-87	1.97137495736094e-87	3.47960531221425
PTGES2_PTPN22	0.53036026209825	-1.06847361266435	-0.962401560244696	2	2.64140133136514e-05	0.00675940819905376	3.68028590514588	3.86582887021372	5.70597182278666	13	4.58025385949088e-110	6.50289234798344e-110	3.32814643583194
CBLB_SOCS1	-0.860605949440254	-0.532166461036801	-0.962469435756928	8	2.64349166955564e-05	0.00675940819905376	1.85471882963912	2.33334714235612	3.26070655717568	16	5.02587661760405e-55	5.02587661760405e-55	3.32800127754814
