test_type	geneA	geneB	beta	se	p	q	sig	delta_ci_low	delta_ci_high	phenotype_score
single	RASA2	NA	0.00880521744880533	0.0023636828513277	0.000195151887847741	0.000234182265417289	TRUE	NA	NA	Cytotoxicity
single	MED12	NA	0.0188545116113251	0.00259228143692867	3.50738850204941e-13	2.10443310122965e-12	TRUE	NA	NA	Cytotoxicity
single	TRAF6	NA	0.017082074189876	0.00252821848362837	1.41300960645843e-11	4.23902881937528e-11	TRUE	NA	NA	Cytotoxicity
single	ZC3H12A	NA	0.0113624250377203	0.00227493862771543	5.89556116077883e-07	8.84334174116825e-07	TRUE	NA	NA	Cytotoxicity
single	SOCS3	NA	0.0149781968006624	0.00240236555157561	4.52442184564704e-10	9.04884369129408e-10	TRUE	NA	NA	Cytotoxicity
single	NR4A1	NA	0.00879821436927013	0.002411626589328	0.000264033648474932	0.000264033648474932	TRUE	NA	NA	Cytotoxicity
pair	RASA2	MED12	0.0302705353355917	0.0092441091932876	0.00105820782451844	0.00198413967097207	TRUE	NA	NA	Cytotoxicity
pair	RASA2	TRAF6	0.023799975689727	0.00783594147075651	0.00238720825652793	0.00397868042754655	TRUE	NA	NA	Cytotoxicity
pair	RASA2	ZC3H12A	0.0205328157081773	0.0059917682342781	0.000610654521715967	0.00130854540367707	TRUE	NA	NA	Cytotoxicity
pair	RASA2	SOCS3	0.0236458609656476	0.00619627457105221	0.000135554749199201	0.000508330309497005	TRUE	NA	NA	Cytotoxicity
pair	RASA2	NR4A1	0.0343126220054333	0.00637884563823154	7.48478180750937e-08	1.12271727112641e-06	TRUE	NA	NA	Cytotoxicity
pair	MED12	TRAF6	0.0265611521877868	0.00921960769408108	0.00396488981908189	0.00526076158877927	TRUE	NA	NA	Cytotoxicity
pair	MED12	ZC3H12A	0.0268154685733686	0.00935050891565262	0.00413325677769369	0.00526076158877927	TRUE	NA	NA	Cytotoxicity
pair	MED12	SOCS3	0.0184848118140716	0.00895248234823729	0.0389448222883674	0.0389448222883674	TRUE	NA	NA	Cytotoxicity
pair	MED12	NR4A1	0.034083491341278	0.00974917734385553	0.000472222012612461	0.00118055503153115	TRUE	NA	NA	Cytotoxicity
pair	TRAF6	ZC3H12A	0.0202075525772756	0.00805461873854761	0.0121136726672005	0.012978935000572	TRUE	NA	NA	Cytotoxicity
pair	TRAF6	SOCS3	0.0218174299353238	0.0076871067427084	0.00453708981023204	0.00526076158877927	TRUE	NA	NA	Cytotoxicity
pair	TRAF6	NR4A1	0.0344260083085346	0.00837154902638327	3.91800207360322e-05	0.000195900103680161	TRUE	NA	NA	Cytotoxicity
pair	ZC3H12A	SOCS3	0.0173191477963548	0.00610554929721215	0.00455932671027537	0.00526076158877927	TRUE	NA	NA	Cytotoxicity
pair	ZC3H12A	NR4A1	0.0230414995476666	0.00623011515933635	0.000216957082567861	0.000650871247703582	TRUE	NA	NA	Cytotoxicity
pair	SOCS3	NR4A1	0.0325116535237401	0.00651715496908237	6.08100121714433e-07	4.56075091285825e-06	TRUE	NA	NA	Cytotoxicity
pair_vs_single	RASA2	MED12	0.011223441807788	NA	0.249235064994692	0.345094705377265	FALSE	-0.00801826006119708	0.0294021970346889	Cytotoxicity
pair_vs_single	RASA2	TRAF6	0.00383880571392889	NA	0.609446644309189	0.708974250886857	FALSE	-0.0111718306587205	0.0200048483457144	Cytotoxicity
pair_vs_single	RASA2	ZC3H12A	0.000842675389495104	NA	0.894242000685819	0.926286427725426	FALSE	-0.0119814513912936	0.0135568825340323	Cytotoxicity
pair_vs_single	RASA2	SOCS3	0.00406173382756418	NA	0.543852686190406	0.675127472512228	FALSE	-0.00920540746713509	0.0163779529923186	Cytotoxicity
pair_vs_single	RASA2	NR4A1	0.0147097693837656	NA	0.0278979583586348	0.0478250714719454	TRUE	0.00195485327845315	0.0277681377369085	Cytotoxicity
pair_vs_single	MED12	TRAF6	0.00669207003878601	NA	0.480246972446089	0.617460393144971	FALSE	-0.0118720500708275	0.0253846842907425	Cytotoxicity
pair_vs_single	MED12	ZC3H12A	0.0068097906129746	NA	0.450353018199293	0.60047069093239	FALSE	-0.0112852888255973	0.0256496255083185	Cytotoxicity
pair_vs_single	MED12	SOCS3	-0.00134023478114552	NA	0.900556249177498	0.926286427725426	FALSE	-0.0193329013081756	0.0170840662626253	Cytotoxicity
pair_vs_single	MED12	NR4A1	0.0148413540547002	NA	0.144697067091964	0.208363776612429	FALSE	-0.00479759664943059	0.0335907734858836	Cytotoxicity
pair_vs_single	TRAF6	ZC3H12A	0.000664203506546055	NA	0.958228536161075	0.958228536161075	FALSE	-0.0162595663173801	0.0158372260038464	Cytotoxicity
pair_vs_single	TRAF6	SOCS3	0.00231697058802136	NA	0.780050301736493	0.850963965530719	FALSE	-0.0133710013772544	0.0180260136416031	Cytotoxicity
pair_vs_single	TRAF6	NR4A1	0.0147670682133206	NA	0.0873060612782791	0.130959091917419	FALSE	-0.00276553372361553	0.0311223270941274	Cytotoxicity
pair_vs_single	ZC3H12A	SOCS3	-0.00190357335249916	NA	0.740977038638204	0.833599168467979	FALSE	-0.0149577778492923	0.0106359338250932	Cytotoxicity
pair_vs_single	ZC3H12A	NR4A1	0.00331762055030883	NA	0.610505604930349	0.708974250886857	FALSE	-0.00949764698905956	0.0161617580414899	Cytotoxicity
pair_vs_single	SOCS3	NR4A1	0.0128437476740181	NA	0.0744543618365265	0.116537262004998	FALSE	-0.00149072009058519	0.0270517397502969	Cytotoxicity
single	RASA2	NA	0.0015633194985712	0.000165914491852883	4.40721177707064e-21	6.61081766560596e-21	TRUE	NA	NA	IFN
single	MED12	NA	0.00262530309505813	0.000181864479211474	3.09433193187826e-47	1.85659915912696e-46	TRUE	NA	NA	IFN
single	TRAF6	NA	0.0025076572254527	0.000177155167624519	1.7357739600696e-45	5.20732188020879e-45	TRUE	NA	NA	IFN
single	ZC3H12A	NA	0.00153228614279002	0.000159665712939727	8.24337318025105e-22	1.64867463605021e-21	TRUE	NA	NA	IFN
single	SOCS3	NA	0.00146749029549687	0.000169031247651387	3.89659194060238e-18	4.67591032872286e-18	TRUE	NA	NA	IFN
single	NR4A1	NA	0.00143812541367478	0.000169385749038682	2.06213401502069e-17	2.06213401502069e-17	TRUE	NA	NA	IFN
pair	RASA2	MED12	0.00379706878444929	0.000644863338633916	3.90481342489756e-09	5.32474557940576e-09	TRUE	NA	NA	IFN
pair	RASA2	TRAF6	0.00336334280451109	0.000546408966313111	7.49080857326813e-10	1.24730647293158e-09	TRUE	NA	NA	IFN
pair	RASA2	ZC3H12A	0.00348679338784994	0.000418181793350551	7.55673592285513e-17	1.88918398071378e-16	TRUE	NA	NA	IFN
pair	RASA2	SOCS3	0.00434871546298693	0.000432875285155452	9.55595105703552e-24	1.43339265855533e-22	TRUE	NA	NA	IFN
pair	RASA2	NR4A1	0.00411128106503346	0.000446761273047723	3.50005180507982e-20	1.75002590253991e-19	TRUE	NA	NA	IFN
pair	MED12	TRAF6	0.00290183007120617	0.000643324229429661	6.46199816930302e-06	6.92356946711038e-06	TRUE	NA	NA	IFN
pair	MED12	ZC3H12A	0.00306701682976626	0.00065310064474485	2.65193852723944e-06	3.05992906989166e-06	TRUE	NA	NA	IFN
pair	MED12	SOCS3	0.00340781324246435	0.000625174311206142	5.00927449516414e-08	6.26159311895517e-08	TRUE	NA	NA	IFN
pair	MED12	NR4A1	0.0041865476202768	0.000681333048876283	8.01441006341491e-10	1.24730647293158e-09	TRUE	NA	NA	IFN
pair	TRAF6	ZC3H12A	0.00242042295299939	0.000562506114096638	1.68556118950718e-05	1.68556118950718e-05	TRUE	NA	NA	IFN
pair	TRAF6	SOCS3	0.00385268735732186	0.000536815184690084	7.12918807389313e-13	1.52768315869139e-12	TRUE	NA	NA	IFN
pair	TRAF6	NR4A1	0.00359459356865838	0.000585554334459055	8.31537648621051e-10	1.24730647293158e-09	TRUE	NA	NA	IFN
pair	ZC3H12A	SOCS3	0.00358485633673427	0.00042743715749714	4.99291691490535e-17	1.49787507447161e-16	TRUE	NA	NA	IFN
pair	ZC3H12A	NR4A1	0.00380609782455293	0.000436191547883915	2.64425334185508e-18	9.91595003195655e-18	TRUE	NA	NA	IFN
pair	SOCS3	NR4A1	0.00429919002031289	0.000457629431220005	5.75017646264655e-21	4.31263234698491e-20	TRUE	NA	NA	IFN
